iter,extension_type,near_idx,sample_x,sample_y,sample_theta,near_x,near_y,near_theta,mid_x,mid_y,mid_theta,new_x,new_y,new_theta,accepted,status
62,random_sample,22,-0.034914,1.873817,0.567217,0.299917,1.667891,0.674839,0.299917,1.667891,1.722037,0.240693,2.056491,1.722037,0,translation_collision
63,random_sample,4,-0.147042,0.907735,-2.631950,0.460314,0.760247,2.769235,0.460314,0.760247,2.769235,-0.005422,0.942154,2.769235,0,translation_collision
64,random_sample,24,-0.287617,1.591548,-1.461835,0.384982,1.254540,-0.282498,0.384982,1.254540,0.764699,0.745777,1.600700,0.764699,1,accepted
65,random_sample,4,0.622780,1.733262,2.583338,0.460314,0.760247,2.769235,0.460314,0.760247,1.722037,0.384982,1.254540,1.722037,0,duplicate_candidate
66,lateral_motion,16,nan,nan,nan,0.805299,1.036291,1.722037,0.805299,1.036291,1.722037,1.201024,1.096601,1.722037,1,accepted
67,random_sample,4,1.208776,0.432708,-2.805085,0.460314,0.760247,2.769235,0.460314,0.760247,-2.466753,0.069910,0.447861,-2.466753,0,translation_collision
68,random_sample,2,0.645585,0.590830,1.316150,0.460314,0.760247,1.722037,0.460314,0.760247,0.674839,0.656338,0.917098,0.674839,1,accepted
69,random_sample,4,-0.263196,1.918879,-2.879256,0.460314,0.760247,2.769235,0.460314,0.760247,2.769235,-0.005422,0.942154,2.769235,0,translation_collision
70,random_sample,4,1.334157,1.080069,2.951203,0.460314,0.760247,2.769235,0.460314,0.760247,1.722037,0.384982,1.254540,1.722037,0,duplicate_candidate
71,lateral_motion,10,nan,nan,nan,0.460314,0.760247,0.674839,0.460314,0.760247,0.674839,0.624443,0.555127,0.674839,0,lateral_segment_collision
72,random_sample,6,1.274859,-0.292611,2.963236,0.259053,-0.281973,2.769235,0.259053,-0.281973,1.722037,0.183721,0.212320,1.722037,0,duplicate_candidate
73,random_sample,19,1.452521,1.706911,0.245868,0.850718,1.072633,0.674839,0.850718,1.072633,0.674839,1.241121,1.385019,0.674839,1,accepted
74,random_sample,24,0.467885,1.222032,-1.679099,0.384982,1.254540,-0.282498,0.384982,1.254540,-0.282498,0.384982,1.254540,-0.282498,0,zero_motion
75,random_sample,25,-0.376208,0.215800,1.637721,-0.206683,-0.100066,1.903392,-0.206683,-0.100066,1.903392,-0.323726,0.238771,1.903392,0,translation_collision
76,lateral_motion,20,nan,nan,nan,0.384982,1.254540,0.738737,0.384982,1.254540,0.738737,0.137503,1.526262,0.738737,1,accepted
77,random_sample,24,0.375350,1.586796,-1.935229,0.384982,1.254540,-0.282498,0.384982,1.254540,0.764699,0.624835,1.484664,0.764699,1,accepted
78,random_sample,18,0.433492,-0.095757,-0.324773,0.460314,0.760247,-0.372358,0.460314,0.760247,-1.419556,0.535646,0.265955,-1.419556,1,accepted
79,random_sample,7,-0.074984,0.159811,2.910249,-0.206683,-0.100066,2.769235,-0.206683,-0.100066,1.722037,-0.250578,0.187951,1.722037,1,accepted
80,lateral_motion,24,nan,nan,nan,0.384982,1.254540,-0.282498,0.384982,1.254540,-0.282498,0.519816,1.719065,-0.282498,1,accepted
81,random_sample,0,1.135117,-0.280279,2.352751,0.610979,-0.228338,1.722037,0.610979,-0.228338,0.674839,1.001383,0.084048,0.674839,0,translation_collision
82,random_sample,0,1.053402,-0.231962,0.878590,0.610979,-0.228338,1.722037,0.610979,-0.228338,0.674839,0.956438,0.048085,0.674839,0,translation_collision
83,random_sample,18,0.287070,0.501208,-0.167850,0.460314,0.760247,-0.372358,0.460314,0.760247,-1.419556,0.507266,0.452172,-1.419556,1,accepted
84,random_sample,4,1.241213,0.165630,2.872929,0.460314,0.760247,2.769235,0.460314,0.760247,-2.466753,0.069910,0.447861,-2.466753,0,translation_collision
85,random_sample,36,-0.298060,-0.126901,1.024377,-0.206683,-0.100066,1.722037,-0.206683,-0.100066,2.769235,-0.206683,-0.100066,2.769235,0,duplicate_candidate
86,random_sample,35,0.121874,-0.221636,-1.699078,0.535646,0.265955,-1.419556,0.535646,0.265955,-2.274481,0.212131,-0.115277,-2.274481,0,rotation_collision
87,lateral_motion,19,nan,nan,nan,0.850718,1.072633,0.674839,0.850718,1.072633,0.674839,0.664416,1.305463,0.674839,1,accepted
88,random_sample,7,-0.244884,-0.069651,-2.857024,-0.206683,-0.100066,2.769235,-0.206683,-0.100066,2.769235,-0.206683,-0.100066,2.769235,0,zero_motion
89,random_sample,34,0.020056,1.799356,-1.592047,0.460314,0.760247,-1.419556,0.460314,0.760247,-2.466753,0.069910,0.447861,-2.466753,0,translation_collision
90,random_sample,3,-0.446085,1.716124,2.358242,0.384982,1.254540,1.722037,0.384982,1.254540,2.634604,-0.052123,1.497313,2.634604,0,translation_collision
91,random_sample,10,0.073866,0.371529,0.230465,0.460314,0.760247,0.674839,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
92,random_sample,18,0.729727,0.734801,-0.214756,0.460314,0.760247,-0.372358,0.460314,0.760247,-0.372358,0.712382,0.661795,-0.372358,0,translation_collision
93,random_sample,35,0.786320,-0.177862,-1.359999,0.535646,0.265955,-1.419556,0.535646,0.265955,-1.419556,0.610979,-0.228338,-1.419556,1,accepted
94,random_sample,18,-0.019599,0.782832,-0.141110,0.460314,0.760247,-0.372358,0.460314,0.760247,-1.419556,0.532700,0.285288,-1.419556,1,accepted
95,random_sample,41,0.911793,-0.247690,-1.020259,0.610979,-0.228338,-1.419556,0.610979,-0.228338,-0.372358,0.891758,-0.338004,-0.372358,0,translation_collision
96,random_sample,15,0.046127,0.457278,1.750313,0.183721,0.212320,1.722037,0.183721,0.212320,1.722037,0.141391,0.490069,1.722037,0,translation_collision
97,random_sample,10,0.105307,-0.437028,0.438692,0.460314,0.760247,0.674839,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
98,random_sample,29,1.323277,0.612865,1.571450,1.201024,1.096601,1.722037,1.201024,1.096601,0.674839,1.590604,1.408328,0.674839,0,translation_collision
99,lateral_motion,1,nan,nan,nan,0.535646,0.265955,1.722037,0.535646,0.265955,1.722037,0.217623,0.217487,1.722037,1,accepted
100,random_sample,34,1.061408,1.554828,-2.359622,0.460314,0.760247,-1.419556,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
101,random_sample,18,1.401572,0.520010,-0.766792,0.460314,0.760247,-0.372358,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
102,random_sample,29,1.342274,1.638757,1.925529,1.201024,1.096601,1.722037,1.201024,1.096601,1.722037,1.125692,1.590893,1.722037,1,accepted
103,random_sample,18,1.412854,-0.139805,-0.248262,0.460314,0.760247,-0.372358,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
104,random_sample,1,0.553979,0.097647,1.649848,0.535646,0.265955,1.722037,0.535646,0.265955,2.769235,0.535646,0.265955,2.769235,0,rotation_collision
105,random_sample,39,0.028495,0.331004,-2.140968,0.507266,0.452172,-1.419556,0.507266,0.452172,-2.466753,0.121652,0.143619,-2.466753,0,rotation_collision
106,random_sample,38,1.055094,1.773396,-0.788808,0.519816,1.719065,-0.282498,0.519816,1.719065,-0.282498,0.999997,1.579687,-0.282498,1,accepted
107,random_sample,4,-0.107716,1.326420,3.015461,0.460314,0.760247,2.769235,0.460314,0.760247,2.769235,-0.005422,0.942154,2.769235,0,translation_collision
108,random_sample,41,0.604998,-0.239050,-0.623855,0.610979,-0.228338,-1.419556,0.610979,-0.228338,-1.419556,0.610979,-0.228338,-1.419556,0,zero_motion
109,random_sample,27,0.524768,1.446679,1.220645,0.384982,1.254540,0.764699,0.384982,1.254540,0.764699,0.384982,1.254540,0.764699,0,zero_motion
110,random_sample,4,0.768349,0.751823,-2.761119,0.460314,0.760247,2.769235,0.460314,0.760247,1.722037,0.413887,1.064880,1.722037,1,accepted
111,random_sample,16,0.789614,0.802606,2.011195,0.805299,1.036291,1.722037,0.805299,1.036291,2.769235,0.805299,1.036291,2.769235,0,duplicate_candidate
112,random_sample,47,1.020202,0.956683,-3.132548,0.805299,1.036291,2.769235,0.805299,1.036291,1.722037,0.805299,1.036291,1.722037,0,duplicate_candidate
113,lateral_motion,13,nan,nan,nan,0.195823,0.132912,1.722037,0.195823,0.132912,1.722037,0.482684,0.176630,1.722037,1,accepted
114,random_sample,34,-0.359896,0.936730,-1.483294,0.460314,0.760247,-1.419556,0.460314,0.760247,-2.466753,0.069910,0.447861,-2.466753,0,translation_collision
115,random_sample,35,0.110520,0.109630,-1.614526,0.535646,0.265955,-1.419556,0.535646,0.265955,-2.466753,0.181974,-0.017040,-2.466753,0,rotation_collision
116,random_sample,24,0.196464,1.109376,-0.873088,0.384982,1.254540,-0.282498,0.384982,1.254540,-1.329696,0.384982,1.254540,-1.329696,0,duplicate_candidate
117,random_sample,41,0.344844,-0.361712,-1.293475,0.610979,-0.228338,-1.419556,0.610979,-0.228338,-2.466753,0.378545,-0.414323,-2.466753,0,translation_collision
118,random_sample,10,0.612089,0.386728,0.924874,0.460314,0.760247,0.674839,0.460314,0.760247,-0.372358,0.835863,0.613566,-0.372358,0,translation_collision
119,random_sample,18,1.251467,0.668225,-0.800175,0.460314,0.760247,-0.372358,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
120,lateral_motion,32,nan,nan,nan,0.137503,1.526262,0.738737,0.137503,1.526262,0.738737,0.368815,1.272290,0.738737,1,accepted
